city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Opunake,NZ,1612267598,-39.4556,173.8583,59.0,62,0,8.01
Arkhangelsk,RU,1612267345,64.5401,40.5433,17.6,86,75,6.71
Amberley,US,1612267598,39.2048,-84.428,21.2,68,1,5.75
Muhafazat Lahij,YE,1612267599,13.1667,44.5833,79.65,49,17,13.82
Yerbogachën,RU,1612267599,61.2767,108.0108,-35.0,81,8,4.05
Liaozhong,CN,1612267599,41.5061,122.7242,5.0,66,8,2.24
Havelock,US,1612267599,34.8791,-76.9013,34.0,86,90,10.36
Cascavel,BR,1612267580,-24.9558,-53.4553,69.8,83,0,23.02
Coquimbo,CL,1612267599,-29.9533,-71.3436,59.0,88,90,3.44
Sinnamary,GF,1612267599,5.3833,-52.95,77.95,87,94,13.09
Chitipa,MW,1612267600,-9.7024,33.2697,81.64,58,74,1.97
Khatanga,RU,1612267600,71.9667,102.5,-32.13,83,0,10.4
Peterhead,GB,1612267600,57.5058,-1.7981,39.2,65,40,12.66
Ostrovnoy,RU,1612267600,68.0531,39.5131,22.5,97,100,7.31
Seoul,KR,1612267395,37.5683,126.9778,24.8,63,75,10.36
Faanui,PF,1612267601,-16.4833,-151.75,81.05,75,0,13.96
Yulara,AU,1612267601,-25.2406,130.9889,89.6,19,28,11.5
Andenes,NO,1612267601,69.3143,16.1194,28.4,64,0,16.11
Islamkot,PK,1612267601,24.6997,70.177,86.47,17,0,10.65
Port-Gentil,GA,1612267353,-0.7193,8.7815,86.0,74,40,9.22
Bisira,PA,1612267601,8.5196,-81.7115,59.09,100,97,7.7
Wynyard,AU,1612267602,-41.0,145.7167,55.99,68,12,10.0
Porto-Novo,BJ,1612267602,6.4965,2.6036,87.8,70,75,9.22
Vao,NC,1612267602,-22.6667,167.4833,76.05,86,100,32.35
Krutikha,RU,1612267602,53.9599,81.2093,4.53,94,60,6.04
Goderich,CA,1612267602,43.7501,-81.7165,17.6,67,100,6.91
Zhezkazgan,KZ,1612267602,47.8043,67.7144,19.83,89,49,3.18
Isangel,VU,1612267602,-19.55,169.2667,78.8,89,90,14.97
Sørland,NO,1612267603,67.667,12.6934,28.4,100,75,3.44
Saint George,US,1612267603,37.1041,-113.5841,51.8,50,90,6.91
Hasaki,JP,1612267603,35.7333,140.8333,42.8,49,75,6.91
Belaya Gora,RU,1612267603,68.5333,146.4167,-10.77,90,100,6.35
Novovasylivka,UA,1612267633,46.8315,35.7536,55.15,73,100,11.43
La Ronge,CA,1612267633,55.1001,-105.2842,17.6,92,100,3.44
Falam,MM,1612267634,22.9167,93.6833,51.84,56,0,0.38
Mundo Nuevo (Ojo de Agua),MX,1612267634,18.7,-95.5,67.84,75,63,11.01
Caucayá,CO,1612267634,-0.1934,-74.7819,70.68,97,94,1.39
